,lat,lon
449,48.84462,2.37374
10336,48.8446,2.37321
9424,48.8447,2.37357
3071,48.844440000000006,2.37338
3964,48.84476,2.37345
7203,48.84458,2.37368
4350,48.8445,2.37356
6427,48.84462,2.37332
5883,48.84463,2.37358
2141,48.84443,2.37326
4388,48.8445,2.37356
9036,48.84473,2.37318
7419,48.84454,2.3736200000000003
6659,48.8444,2.37314
10669,48.84453,2.37321
5460,48.84452,2.37351
1593,48.84466,2.37338
4583,48.84458,2.37326
125,48.84473,2.37338
6413,48.84462,2.37332
5428,48.84452,2.37351
1533,48.84468,2.37321
3754,48.844640000000005,2.3736900000000003
11036,48.8444,2.37331
2580,48.84451,2.37326
1351,48.84468,2.37321
3747,48.844640000000005,2.3736900000000003
1035,48.84454,2.37333
3977,48.84476,2.37345
10645,48.84453,2.37321
2888,48.84438,2.3734900000000003
7537,48.84454,2.3736200000000003
4178,48.84476,2.37332
2663,48.84451,2.37339
7826,48.84456,2.37357
10381,48.8446,2.37321
6044,48.84437,2.37319
7139,48.84441,2.37344
406,48.84462,2.37374
8232,48.84447,2.37361
6488,48.84462,2.37332
9764,48.84459,2.3730900000000004
7460,48.84454,2.3736200000000003
5687,48.84456,2.37372
233,48.84446,2.3735
3412,48.84473,2.37351
4324,48.8445,2.37356
7269,48.84458,2.37368
10765,48.84453,2.37321
8223,48.84447,2.37361
5155,48.84446,2.3732
2267,48.84447,2.37332
6236,48.84434,2.37342
7663,48.84437,2.37337
230,48.84446,2.3735
4827,48.8446,2.37363
5441,48.84452,2.37351
10762,48.84453,2.37321
3860,48.84476,2.37345
8991,48.84473,2.37318
6147,48.84434,2.37342
10135,48.84467,2.37363
9381,48.8447,2.37357
3972,48.84476,2.37345
3299,48.84448,2.37345
1312,48.84463,2.37315
8236,48.84447,2.37361
9386,48.8447,2.37357
2220,48.84447,2.37332
3485,48.84473,2.37351
6549,48.8444,2.37314
10708,48.84453,2.37321
176,48.84473,2.37338
3253,48.84448,2.37345
5134,48.84446,2.3732
4155,48.84476,2.37332
272,48.84446,2.3735
4534,48.84458,2.37326
5198,48.84446,2.3732
1712,48.84466,2.37338
7610,48.84437,2.37337
5788,48.84463,2.37358
5770,48.84463,2.37358
499,48.84462,2.37374
1892,48.84465,2.37326
2543,48.84451,2.37326
5755,48.84463,2.37358
6753,48.84456,2.37315
6479,48.84462,2.37332
1468,48.84468,2.37321
9946,48.84459,2.3730900000000004
9568,48.84443,2.37355
9682,48.84443,2.37355
10198,48.84467,2.37363
3716,48.844640000000005,2.3736900000000003
3140,48.844440000000006,2.37338
8310,48.84459,2.37351
3885,48.84476,2.37345
2759,48.84451,2.37339
487,48.84462,2.37374
2513,48.84451,2.37326
5456,48.84452,2.37351
3709,48.844640000000005,2.3736900000000003
124,48.84473,2.37338
9841,48.84459,2.3730900000000004
1818,48.84465,2.37326
4841,48.8446,2.37363
1029,48.84454,2.37333
6694,48.8444,2.37314
4304,48.8445,2.37356
1334,48.84463,2.37315
10635,48.84453,2.37321
1811,48.84465,2.37326
2576,48.84451,2.37326
2819,48.84438,2.3734900000000003
7049,48.84441,2.37344
4053,48.84476,2.37332
3673,48.844640000000005,2.3736900000000003
2560,48.84451,2.37326
8943,48.84473,2.37318
7945,48.84456,2.37357
1091,48.84454,2.37333
1278,48.84463,2.37315
5120,48.84446,2.3732
9512,48.8447,2.37357
2791,48.84451,2.37339
4443,48.8445,2.37356
7474,48.84454,2.3736200000000003
2860,48.84438,2.3734900000000003
10525,48.84472,2.37326
1218,48.84463,2.37315
8382,48.84459,2.37351
2917,48.84438,2.3734900000000003
8396,48.84459,2.37351
8747,48.8447,2.37344
6986,48.84441,2.37344
7115,48.84441,2.37344
4630,48.84458,2.37326
6260,48.84434,2.37342
